symbol,name,creation_date,sector
ALG,Alpine Logistics,2005-03-10,Transportation
BCP,BioConnect Pro,2011-08-10,Healthcare
BLP,BlueChip Finance,2008-01-15,Finance
CCS,CosmoConsumer Services,2004-11-18,Consumer Services
CNS,ConnectPro Services,2005-06-12,Consumer Services
COM,CommuTech Solutions,2016-03-22,Telecommunications
CPC,ConnectCom Pro,2013-12-03,Consumer Services
CTC,CommuTech Dynamics,2016-03-25,Telecommunications
DYO,Dynamo Dynamics,2012-09-03,Energy
ECC,EnergyElite Corp,2009-03-08,Energy
EGD,EcoEnergy Dynamics,2015-02-22,Energy
EGI,EnergiTech Innovations,2019-06-10,Energy
EGT,EnergiTech Solutions,2009-10-15,Energy
EGY,EcoEnergy Innovations,2015-02-10,Energy
ELE,ElectroEra Dynamics,2009-03-08,Energy
ENE,EcoEnergize,2016-09-18,Energy
ENI,EcoInnovate Corp,2008-06-20,Energy
EVE,EvoEnergize,2018-09-10,Energy
FFF,FireFinance Ltd,2010-01-25,Finance
FFL,FinanceFront Ltd,2002-04-28,Finance
FIN,Financial Nexus,2008-11-05,Finance
FLR,FinanceFlare Ltd,2007-07-18,Finance
FLS,FinanceFlare Systems,2015-11-30,Finance
FTS,FlowTech Solutions,2015-11-30,Technology
GNS,GeniusScape Ltd,2018-04-28,Consumer Services
GRG,GreenGlobe Logistics,2012-11-15,Transportation
GTS,GeniusTech Solutions,2018-04-28,Technology
HEA,HealthVibe Inc,2012-04-15,Healthcare
HED,HealthEra Dynamics,2014-04-20,Healthcare
HHH,HexaHealth Labs,2011-02-20,Healthcare
HHL,HarborHealth Dynamics,2005-06-12,Healthcare
HXH,HexaHarbor Labs,2011-02-20,Healthcare
LCP,LogiConnect Pro,2008-06-20,Transportation
LIL,LinkLine Logistics,2003-08-15,Transportation
LIN,LinkLogistics,2011-06-15,Transportation
LLL,LinkLogistics,2003-08-15,Transportation
LTS,LogiTech Solutions,2010-11-30,Technology
MAN,Manufactura Innovations,2004-01-17,Manufacturing
MCD,MediConnect Dynamics,2007-02-18,Healthcare
MED,MediCore Dynamics,2009-06-08,Healthcare
MGT,MagnaTech Innovate,2014-03-15,Technology
MHI,MediHarbor Labs,2014-09-01,Healthcare
MNU,ManuTech Solutions,2013-12-03,Manufacturing
MVI,ManuVibe Innovations,2005-08-15,Manufacturing
NEX,TechNexa Inc,2011-04-28,Technology
NRG,EnergyFlow Corp,2017-11-25,Energy
NTI,NextTech Innovations,2011-06-10,Technology
NVI,NovaAvionics Inc,2016-06-10,Transportation
NVL,Navis Logistics,2011-07-08,Transportation
NVW,NextWave Manufacturing,2007-10-18,Manufacturing
OMC,OmniCore Manufacturing,2006-05-02,Manufacturing
OMD,OmegaWave Dynamics,2015-01-10,Technology
PRT,ProTech Ventures,2013-09-12,Technology
PSL,ProServiceScape Ltd,2017-09-05,Consumer Services
PWR,PowerTech Innovations,2015-07-20,Utilities
QQI,QuantumQuotient Labs,2015-07-01,Healthcare
SER,ServiceScape Ltd,2014-05-30,Consumer Services
SMA,SystemaTech Innovations,2019-12-01,Technology
SPH,ServiceSphere Solutions,2010-03-14,Consumer Services
SSL,SolarSphere Solutions,2014-12-05,Utilities
SSS,ServiceSync Solutions,2018-12-05,Consumer Services
STS,SystemaTech Innovations,2019-12-01,Technology
SUN,SunScape Solar,2008-12-28,Energy
SYS,Systema Manufacturing,2001-04-05,Manufacturing
TEC,TechTrek Solutions,2006-09-20,Technology
TEK,Techno Dynamics,2010-08-22,Technology
TEL,TeleConnect Pro,2011-12-12,Telecommunications
TGI,TransGlobal Innovate,2013-05-22,Transportation
TGM,TransGlobal Manufacturing,2005-10-22,Manufacturing
TKT,Telekinetix Tech,2016-08-22,Telecommunications
TRA,TransGlobal Systems,2018-02-28,Transportation
TRE,TechTrend Ventures,2012-08-08,Technology
TST,TeleSphere Tech,2016-08-15,Telecommunications
TTC,TerraTech Innovations,2014-07-25,Technology
TTI,TransTech Innovate,2012-11-20,Transportation
TTM,TechTrek Manufacturing,2006-09-18,Manufacturing
UTI,UtiliTech Innovations,2019-10-10,Utilities
UTO,UtiliTech Dynamics,2019-04-10,Utilities
VTC,VirtuTech Innovations,2014-09-12,Technology
WAV,WealthWave Inc,2013-10-01,Finance
WLI,WealthElite Inc,2012-06-22,Finance
WTI,WaveTech Innovations,2014-07-25,Technology
WWT,WaveWire Tech,2017-02-28,Telecommunications
